WardName,OldCode,Wardcode,Pop2015,Aged0_15,Aged16_64,Aged65plus,Pct0_15,Pct16_64,Pct65plus,MeanAge13,MedAge13,AreaSqKM,PopDenKm13,PctBame11,PctNBnUK11,PctNoEng11,GenFtRt13,MaleLE0913,FemLE0913,PctYr1Obes,PctYr6Obes,RtAmbulanc,RtAmbAlco,RoadKilled,InEmp2011,EmpRt2011,NoJobs2013,EmpWkAge13,RtNINo1112,MedHouPr14,NPropSld13,MedHHIncom,NumHHSpace,PctDetach,PctSemi,PctTerrace,PctFlat,PctOwned11,PctSocRen11,PctPRent11,PctCTaxAB,PctCTaxCDE,PctCTaxFGH,IncapBen2014,InSupp2014,EmpSup2014,JSA2014,PctDepChild,PctHHNoEmp,PctLonePar,IDRankLond,ID50pctNat,AvgGCSE2013,UnauthAbs13,PctNoQl11,PctLev4Q11,ALevSt1213,ALevEn1213,CriRt1314,ViolRt1314,RobRt1314,Theft1314,CriDam1314,DrugRt1314,Arson14,PctOpSpace,CarPerHH11,PTAL14,PctBike11,Turnout12,Candidate,InnerOuter,x,y
City of London,00AA,E09000001,8100,650,6250,1250,7.962056593,76.88678629,15.15115712,41.30388748,39,3.15148,2538.062371,21.4,36.7,11.9,38.37837838,84.31431704,88.63235718,,28.81,139.9625422,19.34330299,62,4555,79.63286713,392400,63.29032258,138.8888889,724340,434,46788,5530,0.4,0.2,1.4,98,42.3,16.5,35.9,4.090013141,63.12417871,32.78580815,0.48367571,0.48367571,1.93470284,1.749028586,10,0.86659065,24.17582418,551,20,360.4,0.7,6.7,68.4,696.8,206.1,680.7206306,75.94144877,5.880145127,456.8997873,30.65182034,55.04816715,0.392259414,18.62901421,0.385860889,7.862302333,5.308615968,48.5236517,Boris,Inner,532479.7201,181272.0253
Barking and Dagenham - Abbey,00ABFX,E05000026,14750,3850,10150,750,25.95834181,69.01418007,5.027478119,29.5,29,1.3,10500,71.9,57.3,25.7,97.64705882,80.16062206,83.93105213,15.12859304,23.21428571,157.3329324,1.342990795,7,5444,60.34807671,9500,0.989583333,108.6956522,170000,89,28086,4753,3.9,7.2,22.6,66.3,32.7,26.7,38.6,44.71890971,55.1746167,0.106473595,0.757881973,2.576798707,4.193613581,7.141447522,25.38461538,8.748906387,55.31062124,166,85.71428571,333.9483051,1.356022267,16.4,34.5,646.1974684,200.2101266,142.2128464,37.24448971,6.25591038,64.95962756,9.311122427,12.51182076,1.353078253,21.90860132,0.54768154,5.989364918,0.801603206,25.68894145,Ken,Outer,544218.2356,184361.398
Barking and Dagenham - Alibon,00ABFY,E05000027,10600,2700,6800,1050,25.70133182,64.27694342,10.02172476,33.8,33,1.4,7428.6,29.9,24.7,7.9,83.26530612,77.19823105,80.61463443,9.563758389,25.56390977,139.8150743,0.864631181,2,4143,63.10738766,1000,0.149253731,31.14754098,211000,79,26868,4045,3.8,18.2,63.8,14.2,45.1,36.8,15.9,9.283625731,90.64327485,0.073099415,1.702190645,4.958555358,7.252812315,6.072941572,32.1875,12.44019139,60.99518459,124,100,322.5468354,1.489165819,31.2,16.7,598.8211268,207.2605634,75.6896058,24.62536986,1.9089434,22.14374344,10.4991887,7.349432089,0.653777902,20.62184945,0.815159909,3.145890095,1.020408163,20.34792528,Ken,Outer,549061.5648,185152.6226
Barking and Dagenham - Becontree,00ABFZ,E05000028,12700,3200,8350,1100,25.37042875,65.91267339,8.716897856,33,32,1.3,9269.2,41.2,30.1,10.5,101.0526316,78.95444815,79.33514751,12.05211726,28.35164835,130.1451344,0.612745098,1,4598,61.19244078,1300,0.163522013,38.55421687,220000,244,27487,4378,4.2,24.7,52,19.1,46.7,29.4,20.1,11.61778185,88.29055912,0.091659028,1.280487805,3.536585366,6.524390244,6.78914844,31.52777778,10.73182137,51.51057402,185,100,319.2079096,1.465375749,28,20.6,652.947561,202.9573171,79.32573128,21.31879028,3.635762684,28.1771608,6.114691786,4.709965295,1.189626457,1.885447698,0.870236147,2.8717665,1.647411211,22.53821097,Ken,Outer,546997.5893,186088.9148
Barking and Dagenham - Chadwell Heath,00ABGA,E05000029,10400,2550,6400,1450,24.32692308,61.5,14.17307692,36.2,34,3.4,2985.3,37.9,24.8,6.5,73.63636364,79.17945936,82.19418893,12.06140351,28.78338279,139.1028109,0.78057242,6,3819,63.63939343,1900,0.304,26.27118644,240000,99,29617,4062,3.8,29.6,32.2,34.5,54,32,12.4,33.25086591,66.30381,0.445324097,1.347281661,4.200348708,5.864637819,5.851865713,28.44827586,10.14713343,55.23978686,96,100,330.437069,1.604042289,29.1,19.5,632.7865854,205.8219512,72.40704501,19.66731898,2.054794521,24.55968689,7.632093933,2.837573386,1.251443974,55.97450742,0.918061898,2.260909461,1.174668029,25.31881358,Ken,Outer,548358.8573,189491.71
Barking and Dagenham - Eastbrook,00ABGB,E05000030,10750,2150,7050,1550,20.09658247,65.66679049,14.23662704,37.7,36,3.5,3028.6,24.8,19,4.5,73.18181818,77.10791119,81.12408127,10.93394077,24.10071942,147.794994,0.705946239,0,4592,68.22166097,4000,0.575539568,18.43971631,240000,109,35853,3977,3.2,32.6,45.5,18.4,67.6,20,11.2,14.77159881,84.68222443,0.546176763,0.999000999,2.640216926,4.56686171,4.878334028,23.51851852,6.663236429,48.69791667,288,100,350.1363057,1.20807783,29.9,18.5,662.3509615,203.1086538,58.30985915,15.58685446,1.408450704,19.06103286,6.948356808,4.225352113,0.825158155,50.43417889,1.060457937,2.30571916,1.55783184,24.1214693,Boris,Outer,550788.7056,186098.255
Barking and Dagenham - Eastbury,00ABGC,E05000031,11900,3000,7750,1150,25.24997899,65.17099403,9.579026973,33.4,32,1.4,8357.1,41.7,32.2,11.9,87.63636364,78.89309339,84.94536287,12.33552632,24.25531915,113.0377343,0.442380004,0,4546,61.5405442,1200,0.157894737,48.92086331,220000,95,27308,4321,5,21,52.5,21.5,44,37.4,17.3,18.6881473,81.26582278,0.046029919,1.299545159,3.898635478,5.7179987,7.150386113,27.91666667,11.11891386,52.45901639,135,100,339.5980519,1.445579848,28.9,20,680.752809,210.141573,71.18557578,18.96581051,1.956114986,28.23609457,6.803878211,3.401939105,0.577986954,17.10893532,0.782771536,2.731589089,1.515151515,21.51487593,Ken,Outer,546140.2395,183987.5651
Barking and Dagenham - Gascoigne,00ABGD,E05000032,15850,5100,9900,850,32.04165352,62.60018933,5.358157147,29,29,1.1,12772.7,60.4,48.2,18.7,92.85714286,75.51197868,81.0656022,15.5216285,26.13168724,136.0570891,0.796271121,1,4382,56.36737844,2900,0.329545455,69.56521739,199000,59,23178,4711,2.2,6.8,19.5,71.4,23.7,54,18.3,60.70973226,39.20526987,0.084997875,1.329504361,3.616251861,5.318017443,8.393117426,26.8,14.74703983,57.17539863,37,100,340.0700787,1.317598533,25.5,25.2,658.944898,205.4887755,89.78810857,20.33874282,2.480334491,40.89008575,9.070937566,7.795336971,0.862609787,20.78459309,0.541011841,3.232882536,1.353485224,25.59209636,Ken,Outer,544595.7531,183561.6805
Barking and Dagenham - Goresbrook,00ABGE,E05000033,11450,3000,7250,1250,25.94142259,63.20606695,10.85251046,34.1,33,1.3,8692.3,33.3,26.8,7.7,86.15384615,77.45969394,82.83257209,14.39749609,25.82056893,136.628405,0.718218817,0,4544,63.60582307,1300,0.180555556,27.39726027,203000,85,27434,4296,4.8,17.4,62.5,15.3,43.1,37.3,15.8,10.6323836,89.27495946,0.092656938,1.590374775,4.771124326,6.223205642,6.01279065,31.15942029,11.11111111,57.33944954,142,100,344.9782609,1.155555556,30,18.8,685.2612245,203.4204082,77.30234196,23.68374714,3.081528438,23.33157246,12.50220109,2.46522275,0.942264862,14.07856348,0.836768538,2.455199663,1.740644038,20.50673001,Ken,Outer,548211.3194,184071.8051
Barking and Dagenham - Heath,00ABGF,E05000034,11150,2900,6950,1300,26.16805668,62.29037754,11.54156578,34.4,32,2,5475,32.3,24.1,6.2,88.4,76.50436584,80.11135496,14.2384106,25.40792541,188.0021425,0.784412955,2,4043,61.42509875,3100,0.455882353,30,215000,77,25576,4418,2.9,18.9,41.9,36.4,41.6,45.3,11.3,36.57817109,63.37644656,0.045382346,1.891184172,4.800698283,6.691882456,8.074501174,32.68656716,11.74426685,55.41490858,91,100,338.1062992,1.120479416,32.1,17.6,684.0686047,208.6244186,83.10502283,21.36986301,3.105022831,31.14155251,9.315068493,4.01826484,1.963935012,36.32988948,0.73917072,2.652043746,1.601164483,22.24054983,Ken,Outer,549443.3992,186491.6598
